trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
73,False,"{'a': 0.5, 'e': 0.26999999999999935}",35,12,-13.947307493435622,"{0: 20, 1: 0, 2: 1, 3: 2, 4: 0}",1
74,False,"{'a': 0.5, 'e': 0.25999999999999934}",20,6,24.652462423016818,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
75,False,"{'a': 0.5, 'e': 0.24999999999999933}",25,0,-21.763931044679374,"{0: 22, 1: 0, 2: 2, 3: 0, 4: 1}",0
76,False,"{'a': 0.5, 'e': 0.23999999999999932}",20,7,-59.20047840029342,"{0: 8, 1: 1, 2: 3, 3: 0, 4: 1}",1
77,False,"{'a': 0.5, 'e': 0.22999999999999932}",20,8,3.8570980330809386,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
78,False,"{'a': 0.5, 'e': 0.2199999999999993}",30,22,15.643018350347127,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
79,False,"{'a': 0.5, 'e': 0.2099999999999993}",20,13,11.19646064684306,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
80,False,"{'a': 0.5, 'e': 0.1999999999999993}",30,15,-15.703791843138095,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 1}",1
81,False,"{'a': 0.5, 'e': 0.18999999999999928}",25,3,10.943833025789386,"{0: 19, 1: 2, 2: 1, 3: 0, 4: 0}",1
82,False,"{'a': 0.5, 'e': 0.17999999999999927}",20,8,11.391094038122532,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
83,False,"{'a': 0.5, 'e': 0.16999999999999926}",20,6,23.990127087912548,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
84,False,"{'a': 0.5, 'e': 0.15999999999999925}",25,7,6.240306967268475,"{0: 16, 1: 0, 2: 2, 3: 0, 4: 0}",1
85,False,"{'a': 0.5, 'e': 0.14999999999999925}",25,13,1.6931885797033537,"{0: 10, 1: 1, 2: 1, 3: 0, 4: 0}",1
86,False,"{'a': 0.5, 'e': 0.13999999999999924}",30,16,11.88454997155514,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
87,False,"{'a': 0.5, 'e': 0.12999999999999923}",20,6,25.510005050462453,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
88,False,"{'a': 0.5, 'e': 0.11999999999999923}",20,12,14.04616372071334,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
89,False,"{'a': 0.5, 'e': 0.10999999999999924}",20,10,21.092997693563255,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
